,window_8_mean_of_window_means,window_8_std_of_window_means,window_8_mean_of_window_stds,window_8_std_of_window_stds,window_8_mean_of_window_medians,window_2_mean_of_window_means,window_2_std_of_window_means,window_2_mean_of_window_stds,window_2_std_of_window_stds,window_2_mean_of_window_medians
part-01,0.3672502708374693,0.024118297766959,0.0973611710760904,0.0100751092699431,0.3568605071350765,0.4894807098146,0.1849325198065169,0.0,0.0,0.4894807098146
part-02,0.4611088719903825,0.0918474941454315,0.1522188356412589,0.0285933997081796,0.4631091072708507,0.4318688480207646,0.1174978867882157,0.0,0.0,0.4318688480207646
