,window_2_avg_per_window_mean_of_window_means,window_2_avg_per_sentence_mean_of_window_means,window_2_avg_per_response_mean_of_window_means,window_2_avg_per_window_mean_of_window_medians,window_2_avg_per_sentence_mean_of_window_medians,window_2_avg_per_response_mean_of_window_medians,window_8_avg_per_window_mean_of_window_means,window_8_avg_per_sentence_mean_of_window_means,window_8_avg_per_response_mean_of_window_means,window_8_avg_per_window_std_of_window_means,window_8_avg_per_sentence_std_of_window_means,window_8_avg_per_response_std_of_window_means,window_8_avg_per_window_mean_of_window_stds,window_8_avg_per_sentence_mean_of_window_stds,window_8_avg_per_response_mean_of_window_stds,window_8_avg_per_window_std_of_window_stds,window_8_avg_per_sentence_std_of_window_stds,window_8_avg_per_response_std_of_window_stds,window_8_avg_per_window_mean_of_window_medians,window_8_avg_per_sentence_mean_of_window_medians,window_8_avg_per_response_mean_of_window_medians
part-01,0.4268986131916348,0.4268986131916348,0.4268986131916348,0.4268986131916348,0.4268986131916348,0.4268986131916348,0.39812734229288654,0.39812734229288654,0.39812734229288654,0.056624408088075895,0.056624408088075895,0.056624408088075895,0.12085056953836715,0.12085056953836715,0.12085056953836715,0.0166868955835555,0.0166868955835555,0.0166868955835555,0.38973067676565987,0.38973067676565987,0.38973067676565987
part-02,0.46828274159834904,0.46828274159834904,0.46828274159834904,0.46828274159834904,0.46828274159834904,0.46828274159834904,0.4319172797641253,0.4319172797641253,0.4319172797641253,0.057598501949017805,0.057598501949017805,0.057598501949017805,0.12756291483096935,0.12756291483096935,0.12756291483096935,0.01749171665141075,0.01749171665141075,0.01749171665141075,0.43205735925806577,0.43205735925806577,0.43205735925806577
