,window_8_mean_of_window_means,window_8_std_of_window_means,window_8_mean_of_window_stds,window_8_std_of_window_stds,window_8_mean_of_window_medians,window_2_mean_of_window_means,window_2_std_of_window_means,window_2_mean_of_window_stds,window_2_std_of_window_stds,window_2_mean_of_window_medians
part-01,0.3672502708374693,0.024118297766959,0.0973611710760904,0.0100751092699431,0.3568605071350765,0.4894807098146,0.1849325198065169,0.0,0.0,0.4894807098146
part-02,0.4696427718664769,0.065417574631739,0.1221164288615489,0.0232194160073643,0.451297872520933,0.5340176256219109,0.1583950446862286,0.0,0.0,0.5340176256219109
