,window_8_mean_of_window_means,window_8_std_of_window_means,window_8_mean_of_window_stds,window_8_std_of_window_stds,window_8_mean_of_window_medians,window_8_New Section,window_8_Metric,window_2_mean_of_window_means,window_2_std_of_window_means,window_2_mean_of_window_stds,window_2_std_of_window_stds,window_2_mean_of_window_medians,window_2_New Section,window_2_Metric
part-01,0.3672502708374693,0.02411829776695901,0.09736117107609046,0.010075109269943126,0.35686050713507655,,Similarity_Score,0.4894807098146,0.1849325198065169,0.0,0.0,0.4894807098146,,Similarity_Score
part-02,0.4696427718664769,0.065417574631739,0.1221164288615489,0.0232194160073643,0.451297872520933,,Similarity_Score,0.5340176256219109,0.1583950446862286,0.0,0.0,0.5340176256219109,,Similarity_Score
