section_index,sentence_index,perplexity
0,0,27.484515032131352
0,1,11.0573789830078
0,2,10.878076335606604
0,3,6.8259656487129865

New Section
section_index,sentence_index,perplexity
1,0,584.5891588221041
1,1,9.15101845170775
1,2,4.926063032838179
1,3,12.095936026614714
1,4,7.556336367536717
1,5,8.585126367255672

New Section
section_index,sentence_index,perplexity
2,0,48.95057308113502
2,1,4.012518273796538
2,2,2.986595623551956
2,3,2.9583979967427965
2,4,9.519770402592357
2,5,6.146997385723083
2,6,88.54272377153792

New Section
section_index,sentence_index,perplexity
3,0,69.29866185911592
3,1,4.068023602635966
3,2,10.639730797846498
3,3,6.508463506849839
3,4,5.87573549284255
