section_index,sentence_index,perplexity
0,0,27.484451699002506
0,1,13.74108688737084
0,2,6.216485013986425

New Section
section_index,sentence_index,perplexity
1,0,584.5924577088068
1,1,4.160730830485059
1,2,3.2359868214404663
1,3,3.840432262901328
1,4,6.576289244615131
1,5,4.984245912861868

New Section
section_index,sentence_index,perplexity
2,0,48.95057308113502
2,1,3.9119307436612742
2,2,5.88761231308802
2,3,4.159237514327665
2,4,3.037881181553483
2,5,1.8474864144930807
2,6,3.010614871264649

New Section
section_index,sentence_index,perplexity
3,0,69.29866185911592
3,1,4.846903186729818
3,2,4.907055444008477
3,3,11.021446740410243
